"作者ID","作品ID","リミックス元ID","ブロック数","ブロックの種類数","スプライト数","論理","制御フロー","同期","抽象化","データ表現","ユーザとの対話性","並列処理","CTスコア"
"127661441","1054628767","","577","41","7","3","3","3","3","2","1","3","18"
"127661441","1053673842","","884","0","12","3","3","2","3","2","1","3","17"
"127661441","1049572222","","1544","43","21","3","3","3","3","2","1","3","18"
"127661441","996902724","","386","3","9","3","3","3","3","2","1","3","18"
"127661441","996302347","995608817","558","3","9","3","3","3","3","2","1","3","18"
"127661441","995634892","","547","3","12","3","3","3","3","2","2","3","19"
"127661441","995545565","","397","3","8","3","3","3","2","1","1","3","16"
"127661441","994740070","","658","3","9","3","3","3","2","1","1","3","16"
"127661441","993945911","","730","3","13","3","3","3","3","2","1","3","18"
"127661441","993215101","987647697","395","2","8","3","3","3","2","1","1","3","16"
"127661441","992171302","","503","3","9","3","3","3","3","1","1","3","17"
"127661441","960168768","","340","29","9","3","3","1","3","1","1","3","15"
"127661441","957870539","","713","15","17","3","3","3","3","1","1","3","17"
"127661441","992190555","988674306","316","8","7","3","3","3","2","1","1","3","16"
"127661441","991866117","","514","3","14","3","3","3","3","1","1","3","17"
"127661441","989086364","","1069","3","21","3","3","3","3","1","1","3","17"
"127661441","977514405","","616","3","12","3","3","3","2","1","1","3","16"
"127661441","973999762","","572","0","12","3","3","3","2","1","1","3","16"
"127661441","973222025","973176852","686","33","10","3","3","3","3","1","1","3","17"
"127661441","971189060","","245","3","5","3","3","3","2","1","1","3","16"
"134513566","1080953975","","7","4","3","0","1","0","1","0","2","2","6"
"134513566","1079918017","","15","4","4","0","2","1","1","1","2","1","8"
"134513566","1077110689","","0","0","2","0","0","0","0","0","0","0","0"
"134513566","1076705475","","0","0","2","0","0","0","0","0","0","0","0"
"134513566","1076603016","","3","2","3","0","1","0","0","0","2","0","3"
"134513566","1076096784","1023844556","310","5","16","0","2","3","1","1","2","3","12"
"134513566","1074586493","","0","0","3","0","0","0","0","0","0","0","0"
"134513566","1074504530","","3","1","3","0","0","0","1","0","1","1","3"
"134513566","1074328910","","11","7","2","0","2","0","1","1","1","1","6"
"134513566","1074003160","","9","0","3","0","1","2","1","1","2","0","7"
"134513566","1073046674","","4","0","5","0","2","0","0","0","1","0","3"
"134513566","1072582593","","0","0","7","0","0","0","0","0","0","0","0"
"134513566","1072406550","","0","0","3","0","0","0","0","0","0","0","0"
"134513566","1071951070","","23","2","3","0","2","0","1","0","2","2","7"
"132958204","1073961708","","60","18","3","3","2","2","1","1","2","1","12"
"132958204","1067538808","","59","12","3","1","2","3","1","1","2","3","13"
"132958204","1058970778","","107","7","19","0","1","2","1","1","2","3","10"
"132958204","1058969994","","14","4","3","0","1","1","1","1","2","1","7"
"132958204","1058968272","","19","8","4","0","2","1","1","1","2","1","8"
"132958204","1058534847","","14","6","4","0","2","0","1","1","2","1","7"
"132958204","1057723253","","3","3","2","0","1","0","0","1","1","0","3"
"132958204","1056742914","","4","4","2","0","2","0","0","0","1","0","3"
"132958204","1056741792","","14","4","3","0","2","1","1","1","1","1","7"
"132958204","1055111237","","113","37","4","3","3","3","3","2","2","1","17"
"132958204","1055109775","","4","0","2","0","2","0","0","0","1","0","3"
"132958204","1055105427","","13","6","3","0","2","0","1","1","2","1","7"
"132958204","1052573893","","14","6","3","0","2","0","1","1","2","1","7"
"132958204","1051738160","","30","6","3","1","2","1","1","1","1","1","8"
"132958204","1047004644","633130337","43","6","3","0","2","0","2","1","2","1","8"
"132958204","1047001472","633130337","49","10","5","0","2","1","3","1","2","1","10"
"132958204","1044257065","633130337","47","10","4","0","2","1","3","1","2","1","10"
"132958204","1044213681","","48","10","3","1","1","3","1","2","2","3","13"
"132958204","1043072055","1042843511","22","4","4","0","2","0","1","1","1","1","6"
"132958204","1043068922","","4","4","2","0","2","0","0","0","1","0","3"
"102850640","998275179","","474","2","14","3","3","1","1","1","2","2","13"
"102850640","945291790","","16","10","2","0","2","1","1","1","1","1","7"
"102850640","795697332","686491518","6","2","4","0","1","0","1","1","1","1","5"
"102850640","911857531","878974145","5","3","3","0","2","0","1","1","1","1","6"
"102850640","880661630","","56","13","3","2","2","2","1","2","1","3","13"
"102850640","811688171","","28","16","2","0","2","1","2","1","1","1","8"
"102850640","797864200","795666490","418","8","21","0","2","2","1","1","1","3","10"
"102850640","783900706","","193","16","7","0","2","2","1","2","1","3","11"
"102850640","787651969","","37","19","2","2","2","2","1","1","1","0","9"
"102850640","781373433","781037465","251","17","7","0","2","2","1","2","1","3","11"
"102850640","780440167","733251567","342","9","18","0","2","3","1","1","1","3","11"
"102850640","779900786","778629190","584","9","18","0","2","2","2","1","1","3","11"
"84334130","1000985083","","7","7","2","0","2","0","0","1","1","0","4"
"84334130","1000980957","","20","18","2","0","2","1","0","2","1","0","6"
"84334130","996866351","","28","16","2","0","2","0","2","1","1","0","6"
"84334130","996848004","","81","19","7","0","2","3","1","1","1","1","9"
"84334130","989065170","","262","7","14","3","2","3","2","2","2","3","17"
"84334130","989043456","","243","10","8","3","2","3","2","2","2","3","17"
"84334130","984554963","","72","0","7","3","1","3","2","2","1","3","15"
"84334130","984538084","","68","10","4","2","2","3","2","2","2","3","16"
"84334130","980220626","","51","10","5","1","3","2","3","2","1","3","15"
"84334130","980191544","","30","9","6","0","2","3","1","2","2","3","13"
"84334130","971867887","","148","8","5","0","2","3","2","2","1","3","13"
"84334130","971848123","","48","6","5","0","1","3","2","2","2","3","13"
"84334130","971842651","","16","11","2","0","1","0","2","2","1","0","6"
"84334130","968206571","","154","19","9","0","2","3","2","1","1","3","12"
"84334130","848987482","","40","19","2","3","2","2","1","2","2","1","13"
"84334130","845276223","","32","7","4","2","2","2","3","1","2","1","13"
"84334130","838257343","","36","18","3","2","2","1","3","1","1","1","11"
"84334130","838251316","","9","9","2","0","2","1","3","1","1","0","8"
"84334130","831797283","","18","15","2","0","2","0","2","1","1","0","6"
"103739659","1032166125","968061670","34","0","7","0","2","2","1","1","2","3","11"
"103739659","1032163961","","0","0","4","0","0","0","0","0","0","0","0"
"103739659","1032161191","","0","0","4","0","0","0","0","0","0","0","0"
"103739659","1032150198","91331917","845","4","111","2","2","2","1","1","2","3","13"
"103739659","1031600779","996065566","33","5","2","0","1","0","0","1","1","0","3"
"103739659","1029912882","","13","0","2","0","1","0","0","0","1","0","2"
"103739659","1029940977","919878818","6","0","2","0","2","0","0","1","1","0","4"
"103739659","1029939619","","0","0","2","0","0","0","0","0","0","0","0"
"103739659","1029939354","","0","0","2","0","0","0","0","0","0","0","0"
"103739659","1029939213","","0","0","2","0","0","0","0","0","0","0","0"
"97608074","846351529","585032719","180","17","3","2","2","3","3","3","1","3","17"
"97608074","1056961802","","3","0","3","0","1","0","0","0","1","0","2"
"97608074","1052394174","","0","0","2","0","0","0","0","0","0","0","0"
"97608074","1051510410","","0","0","2","0","0","0","0","0","0","0","0"
"97608074","1050349990","","23","19","2","0","2","1","3","1","1","0","8"
"97608074","1048664853","","0","0","4","0","0","0","0","0","0","0","0"
"98304180","1074631194","","18","13","2","0","2","0","0","2","1","0","5"
"98304180","1052646579","","2882","13","56","3","3","3","3","3","2","3","20"
"98304180","1058225713","","13","2","3","0","2","0","1","1","1","1","6"
"98304180","1057363069","","51","18","2","3","2","3","2","2","2","1","15"
"98304180","1041094616","","1628","24","26","3","3","3","3","3","2","3","20"
"98304180","1044131771","","0","0","2","0","0","0","0","0","0","0","0"
"98304180","1040218206","","12","7","3","0","1","0","1","1","2","2","7"
"98304180","1025502739","","1793","0","38","3","3","3","3","3","2","3","20"
"98304180","1023091687","","121","11","6","3","2","3","3","3","2","2","18"
"98304180","1009681995","","802","17","3","3","3","3","3","3","2","1","18"
"98304180","1011595775","","0","0","2","0","0","0","0","0","0","0","0"
"98304180","1005165074","915447085","6","3","2","0","2","0","1","1","1","1","6"
"98304180","998406927","","514","29","11","3","3","3","3","2","2","1","17"
"98304180","989821882","","2161","0","52","3","3","3","3","3","2","2","19"
"98304180","999083465","","394","11","11","3","3","3","3","3","2","3","20"
"98304180","996911702","","100","23","4","3","2","0","2","2","2","1","12"
"98304180","985978084","","939","27","16","3","3","3","3","3","2","3","20"
"98304180","996510416","","125","27","4","3","2","2","3","2","2","1","15"
"109251816","1068708152","1067865853","835","53","7","3","3","3","3","2","2","3","19"
"109251816","1065004519","1064985815","234","10","12","1","2","2","1","2","2","3","13"
"109251816","1059872005","1056989349","328","17","12","3","3","3","2","3","2","3","19"
"109251816","1054753142","1050525635","240","5","6","3","2","3","3","2","2","2","17"
"109251816","1052428508","1050525635","64","15","3","3","2","3","3","2","2","3","18"
"109251816","1050523209","1047229893","210","9","8","3","2","2","3","2","2","1","15"
"109251816","1047683832","1047220584","197","18","4","3","2","2","1","2","2","3","15"
"109251816","1047241458","1043646342","117","6","7","1","2","2","3","2","2","3","15"
"109251816","1046140529","1045646600","134","15","9","1","2","1","1","1","2","1","9"
"109251816","1045840356","1045630051","89","15","5","3","2","2","3","2","2","3","17"
"109251816","1044038031","1043647908","149","16","8","3","3","2","1","2","2","3","16"
"109251816","1043662148","1043645448","107","22","7","3","2","3","3","2","2","1","16"
"109251816","1038770849","1038269749","228","11","7","1","2","2","1","3","2","3","14"
"109251816","1038285868","1034682029","108","2","5","3","2","1","1","2","2","1","12"
"109251816","1038274419","1027424749","84","9","4","1","2","2","3","2","2","3","15"
"109251816","1010004675","1005267224","230","20","10","3","2","2","3","2","2","3","17"
"109251816","1034687511","1027424493","88","23","5","3","3","2","3","3","2","1","17"
"109251816","1028161213","1027424215","139","3","8","3","3","2","3","2","2","1","16"
"109251816","1023158791","1018860303","94","30","5","3","2","2","3","2","2","1","15"
"109251816","1023144009","1018317944","96","19","6","0","3","2","1","1","2","3","12"
"127894812","1041299447","","461","43","16","3","3","3","3","3","2","3","20"
"127894812","1046632372","","113","40","3","3","3","3","1","3","2","3","18"
"127894812","1042643302","","3","3","2","0","2","0","0","1","1","0","4"
"127894812","1040574925","","0","0","2","0","0","0","0","0","0","0","0"
"127894812","1040290105","","2","2","2","0","1","0","0","1","2","0","4"
"127894812","1039186172","","77","9","7","0","2","1","3","1","2","1","10"
"127894812","1038989205","","7","3","3","0","1","2","1","1","2","0","7"
"127894812","1038623022","","64","17","2","3","2","2","1","3","2","1","14"
"127894812","1037956815","","255","18","6","3","3","3","1","2","2","3","17"
"127894812","1037906038","","10","10","2","0","2","0","3","0","1","0","6"
"127894812","1037742378","","7","6","2","0","2","0","0","1","1","0","4"
"127894812","1036232294","","32","10","3","1","2","0","1","2","1","1","8"
"127894812","1036213177","","3","3","3","0","1","0","0","0","1","0","2"
"127894812","1035071419","","308","25","6","3","3","3","2","2","2","3","18"
"127894812","1034495881","428156735","53","8","4","0","2","2","1","1","1","3","10"
"127894812","1034336077","","4","2","2","0","1","0","1","1","2","0","5"
"127894812","1034300876","","85","25","2","3","3","2","1","2","2","1","14"
"127894812","1033835009","","83","19","5","1","2","2","1","2","2","2","12"
"127894812","1033915289","","0","0","2","0","0","0","0","0","0","0","0"
"126617186","1060884921","68544212","441","9","25","0","2","2","1","1","1","1","8"
"126617186","1057007294","983138587","24","8","3","0","2","0","1","1","2","1","7"
"126617186","1057003846","66681914","15","7","2","0","1","0","1","1","2","1","6"
"126617186","1054774794","798353991","4","0","2","0","2","0","0","0","1","0","3"
"126617186","1047513188","464890679","21","5","9","0","2","1","1","1","1","1","7"
"126617186","1045599335","","0","0","2","0","0","0","0","0","0","0","0"
"126617186","1030481239","","18","3","7","0","2","0","1","0","2","2","7"
"126617186","1030704356","726547293","0","0","4","0","0","0","0","0","0","0","0"
"126617186","1030518533","996648416","71","25","2","1","2","1","3","2","2","1","12"
"126617186","1029661753","996711391","3","0","10","0","1","0","0","0","1","0","2"
"126617186","1013885212","","0","0","3","0","0","0","0","0","0","0","0"
"126617186","996829400","863746212","7","5","2","0","2","0","1","1","1","1","6"
"126617186","991218194","","41","9","4","2","2","1","1","2","2","2","12"
"126617186","988307189","945373511","197","8","8","3","3","2","1","2","2","3","16"
"100009176","1083415990","535783147","16","2","4","0","1","0","1","2","2","0","6"
"100009176","1082958675","535783147","14","0","4","0","1","0","1","2","2","0","6"
"100009176","1082339617","535783147","7","0","3","0","1","0","1","2","2","0","6"
"100009176","1082149994","535695413","8","8","3","0","2","0","0","1","1","0","4"
"100009176","1081709210","535695413","21","8","3","1","2","1","1","1","1","1","8"
"100009176","1080132336","535695413","6","6","2","0","2","0","0","1","1","0","4"
"100009176","1079726846","514510708","9","2","7","0","2","2","1","1","2","0","8"
"100009176","1079725734","514510708","2","0","8","0","0","2","1","0","0","0","3"
"100009176","1079713040","","0","0","2","0","0","0","0","0","0","0","0"
"100009176","1079590771","514510708","11","4","7","0","2","2","1","1","2","1","9"
"100009176","1079586090","514510708","0","0","7","0","0","0","0","0","0","0","0"
"100009176","1078983342","514510708","14","4","7","0","2","2","1","1","2","3","11"
