"作者ID","作品ID","リミックス元ID","ブロック数","ブロックの種類数","スプライト数","論理","制御フロー","同期","抽象化","データ表現","ユーザとの対話性","並列処理","CTスコア"
"127661441","996302347","995608817","558","3","9","3","3","3","3","2","1","3","18"
"127661441","993215101","987647697","395","2","8","3","3","3","2","1","1","3","16"
"127661441","992190555","988674306","316","8","7","3","3","3","2","1","1","3","16"
"127661441","973222025","973176852","686","33","10","3","3","3","3","1","1","3","17"
"134513566","1076096784","1023844556","310","5","16","0","2","3","1","1","2","3","12"
"132958204","1047004644","633130337","43","6","3","0","2","0","2","1","2","1","8"
"132958204","1047001472","633130337","49","10","5","0","2","1","3","1","2","1","10"
"132958204","1044257065","633130337","47","10","4","0","2","1","3","1","2","1","10"
"132958204","1043072055","1042843511","22","4","4","0","2","0","1","1","1","1","6"
"102850640","795697332","686491518","6","2","4","0","1","0","1","1","1","1","5"
"102850640","911857531","878974145","5","3","3","0","2","0","1","1","1","1","6"
"102850640","797864200","795666490","418","8","21","0","2","2","1","1","1","3","10"
"102850640","781373433","781037465","251","17","7","0","2","2","1","2","1","3","11"
"102850640","780440167","733251567","342","9","18","0","2","3","1","1","1","3","11"
"102850640","779900786","778629190","584","9","18","0","2","2","2","1","1","3","11"
"103739659","1032166125","968061670","34","0","7","0","2","2","1","1","2","3","11"
"103739659","1032150198","91331917","845","4","111","2","2","2","1","1","2","3","13"
"103739659","1031600779","996065566","33","5","2","0","1","0","0","1","1","0","3"
"103739659","1029940977","919878818","6","0","2","0","2","0","0","1","1","0","4"
"97608074","846351529","585032719","180","17","3","2","2","3","3","3","1","3","17"
"98304180","1005165074","915447085","6","3","2","0","2","0","1","1","1","1","6"
"109251816","1068708152","1067865853","835","53","7","3","3","3","3","2","2","3","19"
"109251816","1065004519","1064985815","234","10","12","1","2","2","1","2","2","3","13"
"109251816","1059872005","1056989349","328","17","12","3","3","3","2","3","2","3","19"
"109251816","1054753142","1050525635","240","5","6","3","2","3","3","2","2","2","17"
"109251816","1052428508","1050525635","64","15","3","3","2","3","3","2","2","3","18"
"109251816","1050523209","1047229893","210","9","8","3","2","2","3","2","2","1","15"
"109251816","1047683832","1047220584","197","18","4","3","2","2","1","2","2","3","15"
"109251816","1047241458","1043646342","117","6","7","1","2","2","3","2","2","3","15"
"109251816","1046140529","1045646600","134","15","9","1","2","1","1","1","2","1","9"
"109251816","1045840356","1045630051","89","15","5","3","2","2","3","2","2","3","17"
"109251816","1044038031","1043647908","149","16","8","3","3","2","1","2","2","3","16"
"109251816","1043662148","1043645448","107","22","7","3","2","3","3","2","2","1","16"
"109251816","1038770849","1038269749","228","11","7","1","2","2","1","3","2","3","14"
"109251816","1038285868","1034682029","108","2","5","3","2","1","1","2","2","1","12"
"109251816","1038274419","1027424749","84","9","4","1","2","2","3","2","2","3","15"
"109251816","1010004675","1005267224","230","20","10","3","2","2","3","2","2","3","17"
"109251816","1034687511","1027424493","88","23","5","3","3","2","3","3","2","1","17"
"109251816","1028161213","1027424215","139","3","8","3","3","2","3","2","2","1","16"
"109251816","1023158791","1018860303","94","30","5","3","2","2","3","2","2","1","15"
"109251816","1023144009","1018317944","96","19","6","0","3","2","1","1","2","3","12"
"127894812","1034495881","428156735","53","8","4","0","2","2","1","1","1","3","10"
"126617186","1060884921","68544212","441","9","25","0","2","2","1","1","1","1","8"
"126617186","1057007294","983138587","24","8","3","0","2","0","1","1","2","1","7"
"126617186","1057003846","66681914","15","7","2","0","1","0","1","1","2","1","6"
"126617186","1054774794","798353991","4","0","2","0","2","0","0","0","1","0","3"
"126617186","1047513188","464890679","21","5","9","0","2","1","1","1","1","1","7"
"126617186","1030704356","726547293","0","0","4","0","0","0","0","0","0","0","0"
"126617186","1030518533","996648416","71","25","2","1","2","1","3","2","2","1","12"
"126617186","1029661753","996711391","3","0","10","0","1","0","0","0","1","0","2"
"126617186","996829400","863746212","7","5","2","0","2","0","1","1","1","1","6"
"126617186","988307189","945373511","197","8","8","3","3","2","1","2","2","3","16"
"100009176","1083415990","535783147","16","2","4","0","1","0","1","2","2","0","6"
"100009176","1082958675","535783147","14","0","4","0","1","0","1","2","2","0","6"
"100009176","1082339617","535783147","7","0","3","0","1","0","1","2","2","0","6"
"100009176","1082149994","535695413","8","8","3","0","2","0","0","1","1","0","4"
"100009176","1081709210","535695413","21","8","3","1","2","1","1","1","1","1","8"
"100009176","1080132336","535695413","6","6","2","0","2","0","0","1","1","0","4"
"100009176","1079726846","514510708","9","2","7","0","2","2","1","1","2","0","8"
"100009176","1079725734","514510708","2","0","8","0","0","2","1","0","0","0","3"
"100009176","1079590771","514510708","11","4","7","0","2","2","1","1","2","1","9"
"100009176","1079586090","514510708","0","0","7","0","0","0","0","0","0","0","0"
"100009176","1078983342","514510708","14","4","7","0","2","2","1","1","2","3","11"
"100009176","1078982551","514510708","0","0","6","0","0","0","0","0","0","0","0"
"123052310","1042206450","411210603","1357","54","25","3","2","3","3","3","2","3","19"
"123052310","1040021402","411210603","2509","56","36","3","3","3","3","3","2","3","20"
"123052310","1039451914","996175251","231","11","9","3","2","2","3","2","2","3","17"
"133165350","1019770898","1019725316","10","0","4","0","2","0","1","2","2","0","7"
"133165350","1019688601","1018176659","7","0","14","0","1","0","1","0","1","1","4"
"133165350","1019537368","1019210253","33","0","8","0","2","0","1","2","1","1","7"
"133165350","1018820954","867857160","5","3","5","0","2","0","1","1","1","1","6"
"133165350","1018820490","1018812661","13","0","8","0","2","0","1","1","1","1","6"
"133165350","1018800823","1010102155","2","0","5","0","1","0","0","0","1","0","2"
"121252649","1066472635","1066212649","0","0","2","0","0","0","0","0","0","0","0"
"121252649","1060304150","1048775490","208","9","6","1","2","2","3","2","1","1","12"
"121252649","1059973260","1057267986","471","27","13","3","3","3","3","2","2","3","19"
"121252649","1059533216","1057609734","960","0","18","3","3","3","3","2","2","3","19"
"121252649","1058912106","932089914","367","8","15","3","3","2","3","2","1","1","15"
"121252649","1059269130","1042650778","505","19","12","3","3","2","3","2","1","3","17"
"121252649","1059259588","1057609734","808","31","16","3","3","3","3","2","2","3","19"
"121252649","1059181507","1055784081","247","2","6","3","3","3","3","2","2","3","19"
"121252649","1059172232","1059114078","53","18","2","0","2","2","3","1","1","1","10"
"121252649","1059170204","1057609734","1210","0","20","3","3","3","3","3","1","3","19"
"121252649","1059061213","1058446475","810","0","18","3","3","2","3","3","1","3","18"
"121252649","1059047350","1057609734","1154","0","20","3","3","2","3","3","1","3","18"
"121252649","1058955234","1046416324","4","0","6","0","2","0","0","0","1","0","3"
"121252649","1052231880","476057497","1393","13","21","3","3","3","3","3","2","3","20"
"107130146","1080779961","121667836","585","26","24","2","2","2","1","2","2","3","14"
"107130146","1075368919","728286315","578","35","10","3","3","3","3","2","2","3","19"
"107130146","1077484143","74711180","2540","44","8","3","3","3","3","2","2","1","17"
"107130146","1073957764","534597363","120","18","5","3","2","3","1","2","2","3","16"
"107130146","1067701891","666145130","760","0","12","1","3","2","3","2","1","3","15"
"107130146","1039062413","664361630","13321","66","26","3","3","3","3","3","2","3","20"
