作品ID,論理,制御フロー,同期,抽象化,データ表現,ユーザとの対話性,並列処理,CTスコア
995608817,0,3,2,2,2,1,1,11
987647697,1,2,2,3,2,1,3,14
988674306,2,2,2,2,2,1,3,14
973176852,3,3,3,3,1,1,3,17
1023844556,0,2,3,1,1,2,3,12
633130337,0,2,1,3,1,2,1,10
1042843511,0,2,0,1,1,1,1,6
878974145,0,2,0,1,2,1,1,7
91331917,0,0,0,0,0,0,0,0
919878818,0,0,0,0,0,0,0,0
915447085,2,2,2,1,1,1,1,10
1067865853,3,3,3,3,2,2,3,19
1064985815,0,1,2,1,1,1,0,6
1056989349,3,3,3,2,3,2,3,19
1047229893,0,0,0,0,0,0,0,0
1047220584,1,0,0,0,2,0,0,3
1043646342,0,0,0,0,0,0,0,0
1045630051,0,0,0,0,0,0,0,0
1043647908,0,0,0,0,0,0,0,0
1043645448,0,1,0,0,2,1,0,4
1038269749,0,0,0,0,0,0,0,0
1034682029,0,0,0,0,0,0,0,0
1027424749,0,0,0,0,0,0,0,0
1027424493,0,0,0,0,0,0,0,0
1027424215,0,0,0,0,0,0,0,0
428156735,0,2,2,1,1,1,3,10
68544212,0,0,0,0,0,0,0,0
983138587,0,2,0,1,1,2,1,7
66681914,0,0,0,0,0,0,0,0
798353991,0,2,0,0,0,1,0,3
464890679,0,0,0,0,0,0,0,0
726547293,0,0,0,0,0,0,0,0
996648416,1,2,1,3,2,2,1,12
996711391,0,0,0,0,0,0,0,0
863746212,0,2,0,1,1,1,1,6
945373511,3,3,2,1,2,2,3,16
535783147,0,0,0,0,0,0,0,0
535695413,0,0,0,0,0,0,0,0
514510708,0,1,2,1,1,2,3,10
411210603,3,3,3,3,3,2,3,20
996175251,3,2,2,3,2,2,3,17
1019725316,1,2,3,2,2,2,1,13
1018176659,0,0,0,0,0,1,0,1
1019210253,0,2,0,1,2,1,1,7
1018812661,0,2,0,1,1,1,1,6
1010102155,0,0,0,0,0,0,0,0
1066212649,0,0,0,0,0,0,0,0
1057267986,3,3,3,3,2,2,3,19
1057609734,3,3,2,3,3,1,3,18
932089914,0,2,1,1,1,1,1,7
1042650778,3,3,2,3,2,2,3,18
1055784081,0,3,2,2,2,1,1,11
1059114078,0,2,1,1,2,1,1,8
1058446475,3,3,2,3,3,1,3,18
121667836,0,0,0,0,0,0,0,0
728286315,3,3,3,3,2,2,3,19
534597363,3,2,3,1,2,2,3,16
674053257,3,3,3,3,3,2,3,20
60917032,3,3,3,3,3,2,3,20
1051863815,0,0,0,0,0,0,0,0
1061648583,0,2,1,1,1,1,1,7
1045572411,0,2,0,0,0,1,0,3
1012884913,0,0,0,0,0,0,0,0
1007356444,0,2,0,0,1,1,0,4
1022876416,3,2,0,1,3,1,1,11
1009434495,0,2,1,1,1,1,1,7
101096448,0,0,0,0,0,0,0,0
1080825412,0,1,0,1,1,2,1,6
1048571676,3,3,3,3,3,1,3,19
413799949,3,3,3,3,2,2,2,18
1001546446,0,2,1,1,1,1,1,7
961731254,0,0,0,0,0,0,0,0
825590845,3,2,2,1,1,2,1,12
639736326,1,2,2,1,1,2,1,10
837182774,0,2,1,1,1,1,1,7
659168736,0,2,1,1,1,1,1,7
311556255,1,2,2,1,1,2,1,10
1072726349,0,2,2,2,2,1,1,10
478260051,0,2,0,1,1,1,1,6
1081093223,3,2,3,1,2,2,3,16
472120032,0,3,1,2,1,1,1,9
846567479,3,3,2,3,2,1,3,17
1081236879,0,2,1,1,1,2,1,8
789040237,0,2,3,1,1,1,3,11
1071446233,0,2,2,1,1,1,3,10
761078107,0,2,3,3,1,1,3,13
856707011,1,2,1,3,2,2,1,12
555327424,3,3,2,2,2,2,0,14
213423212,0,0,0,0,0,0,0,0
992335511,1,2,2,1,2,2,1,11
489159823,3,3,3,3,3,2,3,20
1075803612,3,2,2,2,2,1,3,15
1065378323,0,1,0,1,1,2,2,7
1052429197,0,0,0,0,0,0,0,0
1044419654,0,2,0,0,0,1,0,3
1024276856,0,2,0,1,1,1,1,6
959370953,0,1,0,1,1,2,0,5
996741977,0,0,0,0,0,0,0,0
928423111,3,3,3,3,3,2,1,18
707869151,3,3,3,3,2,2,3,19
446028518,3,3,3,2,2,2,3,18
284081932,3,3,3,3,3,2,3,20
787948437,3,3,3,3,3,2,3,20
953046105,3,3,3,3,2,2,3,19
836040447,3,3,3,3,3,2,3,20
946418677,3,2,3,3,3,2,3,19
1048547803,3,3,3,3,3,2,3,20
673950377,3,3,3,3,2,2,3,19
1055939021,3,3,3,3,3,2,1,18
1056758144,3,3,3,1,2,2,3,17
1056891759,3,2,3,3,3,2,3,19
1050784086,3,2,2,3,2,2,3,17
10128407,3,3,3,3,3,2,3,20
930145318,1,2,1,2,3,1,1,11
876503689,3,3,3,1,3,2,3,18
287585229,2,3,3,3,3,1,3,18
361587332,3,2,3,1,2,3,3,17
762997233,0,2,1,1,1,1,1,7
564435478,3,3,3,3,3,2,3,20
913529042,0,2,1,1,1,1,1,7
793285693,0,2,3,1,2,1,1,10
737792768,3,3,3,1,1,2,1,14
932635893,1,2,3,1,2,2,3,14
923134406,0,1,0,1,1,2,2,7
640286443,3,3,3,3,3,1,3,19
95127403,0,0,0,0,0,0,0,0
639429555,3,3,3,3,3,1,3,19
1006000518,0,0,0,0,0,0,0,0
1008579701,0,2,0,1,1,1,1,6
1014009993,0,1,3,1,1,2,0,8
971345796,0,2,2,3,1,1,3,12
996776641,0,1,0,1,1,2,1,6
998122597,0,1,3,1,1,2,1,9
995494942,0,1,0,1,1,2,0,5
984348018,0,1,0,1,1,2,0,5
992501627,0,1,3,1,1,2,0,8
953567719,3,2,3,1,1,2,1,13
970300497,0,1,1,1,1,1,1,6
915188505,0,2,0,1,1,2,1,7
901682731,0,2,2,1,2,1,3,11
979858395,1,2,2,1,1,3,1,11
934096307,3,2,3,1,2,2,2,15
979867552,0,1,0,1,3,2,0,7
106425884,0,0,0,0,0,0,0,0
979838939,3,3,2,3,3,2,3,19
266810368,3,3,3,2,3,2,0,16
138345047,0,0,0,0,0,0,0,0
941716955,1,2,2,1,2,2,1,11
1078307179,0,2,0,1,1,1,1,6
1077711582,0,2,0,0,0,1,0,3
96562625,0,0,0,0,0,0,0,0
969256844,2,2,2,3,3,2,3,17
846234935,1,2,0,3,2,2,1,11
830287245,0,2,0,0,1,1,0,4
836683502,0,2,1,2,2,1,1,9
331474033,0,0,0,0,0,0,0,0
455986754,3,3,2,3,2,1,3,17
533045968,0,2,3,1,1,1,3,11
468193782,0,2,2,1,1,1,3,10
170026565,3,3,3,3,3,2,3,20
301875509,3,3,3,1,2,2,0,14
26805471,0,0,0,0,0,0,0,0
269484201,0,0,0,0,0,0,0,0
269484444,0,1,0,2,1,0,0,4
269483623,0,1,0,2,1,0,0,4
269484842,0,0,0,0,0,0,0,0
359345386,0,3,2,1,1,2,3,12
301870071,0,0,0,0,0,0,0,0
1014893004,0,0,0,0,0,0,0,0
1079082052,3,3,3,2,1,2,1,15
968483004,0,1,2,1,1,1,3,9
930655286,3,3,3,3,3,2,3,20
1078191134,0,1,0,0,0,1,0,2
999474776,3,2,0,3,2,2,1,13
1073501637,3,3,3,1,1,2,1,14
1078148855,0,2,1,0,1,1,0,5
860213916,0,2,2,1,1,1,3,10
169653065,0,0,0,0,0,0,0,0
1000009808,3,3,3,3,3,2,3,20
107423155,0,0,0,0,0,0,0,0
730256507,0,2,1,0,1,1,0,5
1069453858,0,0,0,0,0,0,0,0
1053405992,3,3,3,2,2,2,3,18
1080863727,0,0,0,0,0,0,0,0
993909246,3,3,0,2,1,2,1,12
1027615604,0,1,0,1,1,2,0,5
1023153254,0,1,0,1,1,2,0,5
1014947848,0,0,0,0,0,0,0,0
1075796439,2,3,3,3,2,2,3,18
1053009359,0,2,0,1,1,1,0,5
1009351795,0,0,0,0,0,0,0,0
1067686497,1,2,0,1,1,2,1,8
1067663084,0,2,1,1,1,2,1,8
1065593064,3,2,3,3,2,2,1,16
975694904,3,3,3,3,3,2,3,20
546266119,3,3,2,3,2,2,1,16
829881652,0,0,0,0,0,0,0,0
712923448,0,2,2,1,1,1,1,8
604936041,0,0,0,0,0,0,0,0
991072625,0,0,0,0,0,0,0,0
910779411,3,2,3,3,2,1,3,17
1076893793,3,3,3,3,3,2,3,20
840499797,0,3,3,2,2,1,3,14
1074075112,0,2,1,1,2,1,1,8
1011052786,0,2,3,3,2,1,3,14
999129656,0,2,3,3,2,2,3,15
640938979,3,3,3,3,2,1,3,18
1064570354,0,2,2,3,1,1,3,12
1042557685,0,2,2,3,1,1,1,10
1052512029,0,2,2,1,1,1,3,10
1059080047,3,3,3,3,3,2,3,20
705028386,3,3,2,3,2,1,3,17
1075538167,0,2,0,1,0,1,0,4
979355909,0,2,2,1,2,1,3,11
1076644686,0,1,0,0,1,1,0,3
1065400623,0,2,1,1,1,2,1,8
1049083455,3,3,2,3,2,2,3,18
1021854474,0,2,1,0,1,1,0,5
881696532,3,3,3,3,3,1,3,19
114623465,0,0,0,0,0,0,0,0
304292119,2,2,1,3,1,1,1,11
670568101,3,3,3,3,3,1,3,19
1047168606,0,2,2,1,1,1,1,8
930690948,0,2,2,2,2,1,3,12
152436958,3,3,3,3,2,2,3,19
948571714,3,3,3,3,3,2,3,20
810079355,2,2,3,3,2,1,3,16
1014113713,0,2,2,1,1,1,1,8
980068107,3,3,2,3,3,2,3,19
1034372285,3,3,3,3,3,2,3,20
1035045092,2,2,2,1,3,2,3,15
1016923413,3,3,3,3,3,2,3,20
1038702705,3,3,3,3,3,2,3,20
1037942542,3,3,3,3,2,2,3,19
1042497735,3,3,3,3,3,2,3,20
946798919,3,2,3,3,2,2,0,15
1024635861,3,3,3,3,3,2,3,20
1022236684,3,2,3,2,2,2,3,17
1027588787,0,2,1,1,2,2,1,9
1016024304,3,3,3,3,2,2,3,19
428265264,3,3,3,3,2,2,3,19
953846392,3,3,3,3,3,2,3,20
641971399,0,1,0,0,1,2,0,4
55037694,0,0,0,0,0,0,0,0
612480024,3,3,3,3,3,2,3,20
12113414,3,2,3,1,2,2,3,16
118762612,0,0,0,0,0,0,0,0
959655372,1,2,1,1,2,1,1,9
17997191,0,0,0,0,0,0,0,0
853110869,3,3,3,3,3,2,3,20
1074272664,0,2,3,1,1,2,3,12
17209672,0,0,0,0,0,0,0,0
888774224,0,2,0,0,0,1,0,3
699333368,2,2,1,1,3,2,1,12
960894357,0,0,0,0,0,0,0,0
991161944,3,2,3,3,2,2,1,16
988929641,3,2,3,3,2,2,1,16
377374516,3,3,3,3,3,2,3,20
854398085,3,3,3,3,2,2,3,19
924118926,3,3,3,3,3,2,3,20
932892326,3,3,3,3,3,2,3,20
1054786028,0,2,0,1,1,1,1,6
1034790025,0,1,0,0,1,1,0,3
694540239,3,2,3,1,1,2,1,13
1023056928,0,2,0,0,0,1,0,3
623235787,3,3,3,3,2,2,2,18
554147954,3,3,3,3,3,2,3,20
1153269,0,2,3,2,2,1,3,13
944630148,0,2,3,1,2,2,3,13
1072786822,2,2,2,1,2,1,3,13
712989984,0,2,1,1,1,2,2,9
669828978,2,3,3,1,2,2,3,16
964762211,0,2,2,1,2,1,3,11
884634344,0,1,2,1,1,1,3,9
955350576,0,2,2,1,1,1,3,10
658337935,3,3,2,3,3,2,2,18
873264672,0,3,3,1,3,1,3,14
585849471,2,3,2,1,2,2,3,15
744374635,3,3,3,3,2,1,1,16
127696811,0,0,0,0,0,0,0,0
790254764,0,2,2,1,1,1,3,10
1051149939,2,2,2,1,2,2,3,14
392188854,3,3,3,3,3,2,3,20
654728546,3,3,3,3,3,2,3,20
375833236,3,3,3,3,2,2,3,19
701095852,3,2,3,1,2,2,3,16
739973673,3,3,3,3,3,2,3,20
565103469,0,2,0,1,1,2,2,8
818188059,1,2,0,0,1,3,0,7
699572928,3,3,3,3,2,2,3,19
351793769,3,3,3,3,3,2,3,20
1081606143,0,0,0,0,0,0,0,0
1072391737,0,0,0,0,0,0,0,0
1041570813,0,2,2,2,1,1,3,11
1034705074,3,3,2,3,3,2,3,19
787562783,2,2,3,1,2,1,3,14
993371259,2,3,0,0,1,2,0,8
980773761,0,2,0,1,0,1,1,5
871332809,3,3,3,2,3,2,3,19
635975105,3,3,3,3,3,1,3,19
997793278,3,3,2,1,1,2,0,12
997745296,3,3,3,3,2,2,3,19
878559269,0,1,0,0,1,1,0,3
879035202,1,2,2,2,2,2,3,14
1013679791,3,3,3,3,3,1,3,19
882437279,3,3,3,3,2,2,3,19
1019462943,0,2,0,1,1,2,0,6
1077390925,0,2,1,2,2,0,0,7
1077235354,0,2,2,2,1,2,1,10
1077255703,0,2,1,2,2,1,0,8
1044083496,0,2,1,1,1,1,1,7
1075300717,0,0,0,0,0,0,0,0
1040836003,0,2,2,1,1,1,3,10
1062102531,0,0,0,0,0,0,0,0
1062542254,0,2,1,1,1,1,0,6
412433858,2,2,2,1,1,2,3,13
863869642,0,2,2,3,2,1,3,13
1022142005,0,2,2,1,1,1,3,10
1070386608,1,2,2,3,3,2,1,14
16044778,0,0,0,0,0,0,0,0
581224661,3,2,3,3,3,2,3,19
1018332425,0,2,1,1,1,1,1,7
1055802472,0,2,0,0,0,1,0,3
1048582235,0,0,0,0,0,0,0,0
912224622,2,2,2,1,2,2,2,13
725195876,0,1,0,0,0,2,0,3
1071764284,0,2,0,1,1,2,1,7
1067075448,0,2,2,1,1,1,3,10
1061523342,0,2,0,1,1,2,2,8
1058014826,1,2,2,2,1,2,3,13
1004653515,0,2,1,1,1,1,1,7
1056647282,3,2,3,1,1,2,1,13
699520705,3,3,3,3,2,2,3,19
945306817,0,2,2,1,2,1,1,9
788438891,3,3,3,1,3,2,3,18
930151871,0,3,2,2,2,1,1,11
873660552,0,2,1,1,1,1,1,7
566477766,0,3,3,1,2,1,3,13
585488117,0,2,2,2,2,1,1,10
1051288779,0,2,0,1,1,2,0,6
1074619882,0,0,0,1,2,0,0,3
881744165,3,2,2,3,3,2,3,18
1059039898,2,2,1,3,2,1,1,12
1062647317,0,2,2,1,1,1,3,10
1050324985,3,1,1,0,2,1,0,8
1063624847,0,2,0,1,1,1,1,6
1043766505,2,2,3,3,3,1,3,17
1052622099,3,3,3,3,3,2,3,20
957445763,0,2,1,2,1,1,1,8
1059919776,0,3,0,1,2,2,1,9
1020629457,0,2,1,3,2,1,1,10
488644595,3,3,3,3,3,2,3,20
876857061,3,3,3,3,3,2,3,20
713129383,3,3,3,3,3,2,3,20
855445766,3,3,3,3,3,2,3,20
471688706,3,3,3,3,3,2,3,20
954516444,2,2,2,1,2,2,3,14
957101579,3,3,3,3,3,2,3,20
27676406,3,3,3,3,3,2,3,20
17363638,0,0,0,0,0,0,0,0
116169977,3,3,3,3,2,2,3,19
778582288,3,3,3,3,3,2,3,20
995230379,0,2,2,1,1,2,1,9
957468487,0,2,0,1,1,1,1,6
991623028,0,0,0,0,0,0,0,0
996778769,0,2,0,0,0,1,0,3
420987785,0,2,0,3,1,1,0,7
953530944,3,3,3,3,3,2,3,20
941037666,1,3,1,2,3,1,1,12
1051864128,0,0,0,0,0,0,0,0
356172393,3,3,2,2,3,1,1,15
861300526,3,3,3,3,3,2,3,20
690341071,3,3,3,3,2,2,3,19
1038231583,3,3,3,3,3,2,3,20
1054562041,0,2,1,3,1,1,1,9
323984271,0,2,0,1,2,1,1,7
1054945543,0,2,2,1,1,1,3,10
547025035,0,2,0,0,0,1,0,3
546642257,0,0,0,0,0,0,0,0
966303531,0,0,0,0,0,0,0,0
1012156318,0,0,0,0,0,0,0,0
946098423,3,2,3,3,2,2,1,16
1031559704,0,3,2,1,1,1,3,11
982254042,3,3,2,2,1,2,3,16
961356009,3,3,3,1,2,2,1,15
1043738671,0,1,0,1,1,1,0,4
102428577,1,3,2,1,3,2,3,15
560596896,0,0,0,0,0,0,0,0
1010317531,3,3,3,3,3,2,3,20
766775266,0,1,0,1,3,2,2,9
598442013,2,3,2,0,2,2,0,11
595356801,0,2,2,1,2,2,3,12
1059746523,0,2,2,1,1,1,1,8
1062217583,2,2,2,3,2,2,2,15
1077100357,3,3,2,3,2,1,3,17
1076999458,0,0,0,0,0,0,0,0
1073817895,0,2,1,1,1,2,1,8
982727869,0,1,0,1,1,2,0,5
1066539883,0,1,0,1,2,2,1,7
1067872695,3,3,2,3,2,1,3,17
1052459346,3,2,2,3,2,1,3,16
1058804756,0,2,0,1,2,2,3,10
587166423,3,3,3,3,2,2,3,19
992562475,3,3,3,3,3,2,3,20
654165145,2,2,2,3,2,2,3,16
992315912,3,3,3,3,3,2,3,20
322239494,0,2,1,1,1,2,2,9
224236914,3,3,3,3,3,2,3,20
323363385,0,2,1,1,1,2,2,9
323043232,0,1,1,1,1,2,2,8
823872487,3,3,3,3,3,2,3,20
46587498,0,0,0,0,0,0,0,0
406620878,3,3,3,3,3,2,3,20
843162693,3,3,3,3,3,2,3,20
450074108,3,3,3,3,3,2,3,20
1004121608,3,3,3,3,3,2,3,20
930562603,3,3,3,3,2,2,3,19
992946604,3,2,2,1,2,2,3,15
920785856,3,3,3,3,3,2,3,20
885593924,3,3,2,3,2,2,3,18
95750839,0,0,0,0,0,0,0,0
685271634,3,3,3,3,3,2,3,20
862198463,3,3,2,3,2,2,3,18
753164295,3,3,3,3,3,2,3,20
947046713,3,3,3,3,3,2,3,20
951376155,3,3,0,2,3,2,1,14
684065914,3,3,3,3,2,2,3,19
709147137,3,3,3,3,3,2,2,19
585106835,1,2,2,1,1,2,3,12
993357622,3,2,2,2,2,2,3,16
26953261,0,0,0,0,0,0,0,0
332774636,0,2,1,1,1,1,1,7
368553699,3,2,2,3,2,2,3,17
912063221,2,3,2,3,2,2,2,16
991140671,3,2,3,3,3,2,3,19
857870415,3,2,3,3,3,2,1,17
886358738,3,3,3,3,3,2,3,20
